query,dag_id,dag_text,tools,edges,topo_family,source,split,strict_fix_applied,had_duplicate_node_labels,original_tools,tool_count,canonical_dag_hash,canonical_toolset_hash,num_nodes,num_edges,query_condition,structural_twin_group,heldout_topology,dataset_version
"First, ensure the service is running properly. Then, retrieve the user's profile information. Next, quarantine the system associated with the user. After that, reset the user's password, and finally, log the changes in the database.",0,"check_service_status -> read_user_profile, quarantine_system -> reset_user_password, read_user_profile -> quarantine_system, reset_user_password -> write_database_record",check_service_status;read_user_profile;quarantine_system;reset_user_password;write_database_record,0->1;1->2;2->3;3->4,chain_long_5,azure_gpt4o,train,FALSE,FALSE,check_service_status;read_user_profile;quarantine_system;reset_user_password;write_database_record,30,791fc25f4ee8cde4,ebcb8d4b76b72bb0,5,4,standard,ebcb8d4b76b72bb0,False,campaign_v4
"Start by verifying the current status of the service. After confirming that, access the user profile. Proceed by isolating the user's system. Once that's done, update the user's password and, in the end, record the updates in the database.",0,"check_service_status -> read_user_profile, quarantine_system -> reset_user_password, read_user_profile -> quarantine_system, reset_user_password -> write_database_record",check_service_status;read_user_profile;quarantine_system;reset_user_password;write_database_record,0->1;1->2;2->3;3->4,chain_long_5,azure_gpt4o,train,FALSE,FALSE,check_service_status;read_user_profile;quarantine_system;reset_user_password;write_database_record,30,791fc25f4ee8cde4,ebcb8d4b76b72bb0,5,4,paraphrase,ebcb8d4b76b72bb0,False,campaign_v4
"This process begins with checking the service's operational status. Only after that is complete can the system retrieve the user profile. The next step is to quarantine the user’s system, which must happen before resetting their password. Finally, once the password is changed, the results must be logged in the database.",0,"check_service_status -> read_user_profile, quarantine_system -> reset_user_password, read_user_profile -> quarantine_system, reset_user_password -> write_database_record",check_service_status;read_user_profile;quarantine_system;reset_user_password;write_database_record,0->1;1->2;2->3;3->4,chain_long_5,azure_gpt4o,train,FALSE,FALSE,check_service_status;read_user_profile;quarantine_system;reset_user_password;write_database_record,30,791fc25f4ee8cde4,ebcb8d4b76b72bb0,5,4,structural_clear,ebcb8d4b76b72bb0,False,campaign_v4
"The workflow starts by confirming the service is functioning. This step is a prerequisite for accessing the user’s profile. After the profile is accessed, the system must be quarantined. Once quarantine is complete, the user’s password can be updated. The workflow concludes by saving the final updates in the database.",0,"check_service_status -> read_user_profile, quarantine_system -> reset_user_password, read_user_profile -> quarantine_system, reset_user_password -> write_database_record",check_service_status;read_user_profile;quarantine_system;reset_user_password;write_database_record,0->1;1->2;2->3;3->4,chain_long_5,azure_gpt4o,train,FALSE,FALSE,check_service_status;read_user_profile;quarantine_system;reset_user_password;write_database_record,30,791fc25f4ee8cde4,ebcb8d4b76b72bb0,5,4,structural_paraphrase,ebcb8d4b76b72bb0,False,campaign_v4
"Begin by verifying that everything is working as expected with the service. Once that’s done, look up the account details for the user. Afterward, isolate the system linked to the account. When isolation is finished, update the credentials for the user. Wrap up by storing these updates in the system's records.",0,"check_service_status -> read_user_profile, quarantine_system -> reset_user_password, read_user_profile -> quarantine_system, reset_user_password -> write_database_record",check_service_status;read_user_profile;quarantine_system;reset_user_password;write_database_record,0->1;1->2;2->3;3->4,chain_long_5,azure_gpt4o,train,FALSE,FALSE,check_service_status;read_user_profile;quarantine_system;reset_user_password;write_database_record,30,791fc25f4ee8cde4,ebcb8d4b76b72bb0,5,4,lexical,ebcb8d4b76b72bb0,False,campaign_v4
"Please check the system's health first. Afterward, gather any relevant user details. Then, take steps to secure the user’s environment. Once that’s in place, make sure the user’s login credentials are updated. Lastly, ensure the changes are documented properly.",0,"check_service_status -> read_user_profile, quarantine_system -> reset_user_password, read_user_profile -> quarantine_system, reset_user_password -> write_database_record",check_service_status;read_user_profile;quarantine_system;reset_user_password;write_database_record,0->1;1->2;2->3;3->4,chain_long_5,azure_gpt4o,train,FALSE,FALSE,check_service_status;read_user_profile;quarantine_system;reset_user_password;write_database_record,30,791fc25f4ee8cde4,ebcb8d4b76b72bb0,5,4,confusable,ebcb8d4b76b72bb0,False,campaign_v4
"Start by checking the service status and pulling up the user's profile. Once both are done, quarantine the system. After the quarantine is in place, reset the user's password and update the database simultaneously.",1,"check_service_status -> quarantine_system, quarantine_system -> reset_user_password, quarantine_system -> write_database_record, read_user_profile -> quarantine_system",check_service_status;read_user_profile;quarantine_system;reset_user_password;write_database_record,0->2;1->2;2->3;2->4,hourglass,azure_gpt4o,train,FALSE,FALSE,check_service_status;read_user_profile;quarantine_system;reset_user_password;write_database_record,30,873bb0f8593828db,ebcb8d4b76b72bb0,5,4,standard,ebcb8d4b76b72bb0,False,campaign_v4
"Verify the service is operational while retrieving the user's account information. When both tasks are completed, isolate the affected system. Following the quarantine, handle the password reset and record updates at the same time.",1,"check_service_status -> quarantine_system, quarantine_system -> reset_user_password, quarantine_system -> write_database_record, read_user_profile -> quarantine_system",check_service_status;read_user_profile;quarantine_system;reset_user_password;write_database_record,0->2;1->2;2->3;2->4,hourglass,azure_gpt4o,train,FALSE,FALSE,check_service_status;read_user_profile;quarantine_system;reset_user_password;write_database_record,30,873bb0f8593828db,ebcb8d4b76b72bb0,5,4,paraphrase,ebcb8d4b76b72bb0,False,campaign_v4
"You need to begin by checking the status of the service, and reading the user profile. These two steps happen in parallel. Only after both are finished can the system be quarantined. Once the quarantine is completed, you should reset the user’s password and add a database entry simultaneously.",1,"check_service_status -> quarantine_system, quarantine_system -> reset_user_password, quarantine_system -> write_database_record, read_user_profile -> quarantine_system",check_service_status;read_user_profile;quarantine_system;reset_user_password;write_database_record,0->2;1->2;2->3;2->4,hourglass,azure_gpt4o,train,FALSE,FALSE,check_service_status;read_user_profile;quarantine_system;reset_user_password;write_database_record,30,873bb0f8593828db,ebcb8d4b76b72bb0,5,4,structural_clear,ebcb8d4b76b72bb0,False,campaign_v4
"First, confirm whether the service is functioning and simultaneously retrieve the user's account details. After both processes are finalized, proceed to isolate the system. Once the quarantine is complete, update the user's credentials and log the changes to the database in parallel.",1,"check_service_status -> quarantine_system, quarantine_system -> reset_user_password, quarantine_system -> write_database_record, read_user_profile -> quarantine_system",check_service_status;read_user_profile;quarantine_system;reset_user_password;write_database_record,0->2;1->2;2->3;2->4,hourglass,azure_gpt4o,train,FALSE,FALSE,check_service_status;read_user_profile;quarantine_system;reset_user_password;write_database_record,30,873bb0f8593828db,ebcb8d4b76b72bb0,5,4,structural_paraphrase,ebcb8d4b76b72bb0,False,campaign_v4
