query,dag_id,dag_text,tools,edges,topo_family,source,split,strict_fix_applied,had_duplicate_node_labels,original_tools,tool_count,canonical_dag_hash,canonical_toolset_hash,num_nodes,num_edges,query_condition,structural_twin_group,heldout_topology,dataset_version
"First, restart the service. Then, rotate the API key. After that, retry any tasks that failed. Finally, trigger the approval workflow to complete the process.",763,"restart_service -> rotate_api_key, retry_failed_task -> dispatch_approval_workflow, rotate_api_key -> retry_failed_task",restart_service;rotate_api_key;retry_failed_task;dispatch_approval_workflow,0->1;1->2;2->3,chain_medium_4,azure_gpt4o,candidate_only,FALSE,FALSE,restart_service;rotate_api_key;retry_failed_task;dispatch_approval_workflow,45,4f54f066a9d062c5,17aca7d328024a36,4,3,standard,17aca7d328024a36,False,campaign_v4
"Begin by restarting the service. Once that’s done, proceed to update the API key. Next, attempt to reprocess any tasks that didn’t succeed earlier. Lastly, start the approval sequence to wrap everything up.",763,"restart_service -> rotate_api_key, retry_failed_task -> dispatch_approval_workflow, rotate_api_key -> retry_failed_task",restart_service;rotate_api_key;retry_failed_task;dispatch_approval_workflow,0->1;1->2;2->3,chain_medium_4,azure_gpt4o,candidate_only,FALSE,FALSE,restart_service;rotate_api_key;retry_failed_task;dispatch_approval_workflow,45,4f54f066a9d062c5,17aca7d328024a36,4,3,paraphrase,17aca7d328024a36,False,campaign_v4
This workflow is sequential. Restarting the service is the first step. Rotating the API key depends on the service restart finishing. Retrying failed tasks requires the key rotation to be complete. The approval workflow can only be dispatched once the failed tasks are retried.,763,"restart_service -> rotate_api_key, retry_failed_task -> dispatch_approval_workflow, rotate_api_key -> retry_failed_task",restart_service;rotate_api_key;retry_failed_task;dispatch_approval_workflow,0->1;1->2;2->3,chain_medium_4,azure_gpt4o,candidate_only,FALSE,FALSE,restart_service;rotate_api_key;retry_failed_task;dispatch_approval_workflow,45,4f54f066a9d062c5,17aca7d328024a36,4,3,structural_clear,17aca7d328024a36,False,campaign_v4
"The tasks in this process must be completed one after another. Restarting the service comes first and is a prerequisite for rotating the API key. The API key rotation must finish before attempting to reprocess failed tasks. Lastly, the approval workflow can only be triggered once the retries have concluded.",763,"restart_service -> rotate_api_key, retry_failed_task -> dispatch_approval_workflow, rotate_api_key -> retry_failed_task",restart_service;rotate_api_key;retry_failed_task;dispatch_approval_workflow,0->1;1->2;2->3,chain_medium_4,azure_gpt4o,candidate_only,FALSE,FALSE,restart_service;rotate_api_key;retry_failed_task;dispatch_approval_workflow,45,4f54f066a9d062c5,17aca7d328024a36,4,3,structural_paraphrase,17aca7d328024a36,False,campaign_v4
"Start by refreshing the backend processes. Once that’s complete, update the security credentials. Afterward, try running the incomplete operations again. Finally, move on to initiating the confirmation workflow to finish the job.",763,"restart_service -> rotate_api_key, retry_failed_task -> dispatch_approval_workflow, rotate_api_key -> retry_failed_task",restart_service;rotate_api_key;retry_failed_task;dispatch_approval_workflow,0->1;1->2;2->3,chain_medium_4,azure_gpt4o,candidate_only,FALSE,FALSE,restart_service;rotate_api_key;retry_failed_task;dispatch_approval_workflow,45,4f54f066a9d062c5,17aca7d328024a36,4,3,lexical,17aca7d328024a36,False,campaign_v4
"Begin by restarting the service and handling any related system updates. After that, proceed to rotate the API key for secure access. Then, check for any incomplete tasks and reattempt them. Finally, launch the required workflow for approvals to ensure everything is finalized.",763,"restart_service -> rotate_api_key, retry_failed_task -> dispatch_approval_workflow, rotate_api_key -> retry_failed_task",restart_service;rotate_api_key;retry_failed_task;dispatch_approval_workflow,0->1;1->2;2->3,chain_medium_4,azure_gpt4o,candidate_only,FALSE,FALSE,restart_service;rotate_api_key;retry_failed_task;dispatch_approval_workflow,45,4f54f066a9d062c5,17aca7d328024a36,4,3,confusable,17aca7d328024a36,False,campaign_v4
"Please restart the service first, and once that's done, rotate the API key, retry any failed tasks, and start the approval workflow all at the same time.",764,"restart_service -> dispatch_approval_workflow, restart_service -> retry_failed_task, restart_service -> rotate_api_key",restart_service;rotate_api_key;retry_failed_task;dispatch_approval_workflow,0->1;0->2;0->3,fanout_3,azure_gpt4o,candidate_only,FALSE,FALSE,restart_service;rotate_api_key;retry_failed_task;dispatch_approval_workflow,45,5c1eca3140efb8b7,17aca7d328024a36,4,3,standard,17aca7d328024a36,False,campaign_v4
"Begin by restarting the service. After it's fully restarted, proceed to handle the API key rotation, address the failed tasks, and initiate the approval workflow simultaneously.",764,"restart_service -> dispatch_approval_workflow, restart_service -> retry_failed_task, restart_service -> rotate_api_key",restart_service;rotate_api_key;retry_failed_task;dispatch_approval_workflow,0->1;0->2;0->3,fanout_3,azure_gpt4o,candidate_only,FALSE,FALSE,restart_service;rotate_api_key;retry_failed_task;dispatch_approval_workflow,45,5c1eca3140efb8b7,17aca7d328024a36,4,3,paraphrase,17aca7d328024a36,False,campaign_v4
"The service restart must happen first before any other actions. Once the restart is complete, rotate the API key, retry the failed tasks, and dispatch the approval workflow concurrently.",764,"restart_service -> dispatch_approval_workflow, restart_service -> retry_failed_task, restart_service -> rotate_api_key",restart_service;rotate_api_key;retry_failed_task;dispatch_approval_workflow,0->1;0->2;0->3,fanout_3,azure_gpt4o,candidate_only,FALSE,FALSE,restart_service;rotate_api_key;retry_failed_task;dispatch_approval_workflow,45,5c1eca3140efb8b7,17aca7d328024a36,4,3,structural_clear,17aca7d328024a36,False,campaign_v4
"Start with restarting the service, as this step is required before anything else. After the restart, rotate the API key, handle the failed tasks, and trigger the approval process—all of these should happen at the same time.",764,"restart_service -> dispatch_approval_workflow, restart_service -> retry_failed_task, restart_service -> rotate_api_key",restart_service;rotate_api_key;retry_failed_task;dispatch_approval_workflow,0->1;0->2;0->3,fanout_3,azure_gpt4o,candidate_only,FALSE,FALSE,restart_service;rotate_api_key;retry_failed_task;dispatch_approval_workflow,45,5c1eca3140efb8b7,17aca7d328024a36,4,3,structural_paraphrase,17aca7d328024a36,False,campaign_v4
"Make sure the system is refreshed first, and after that, update the security credentials, reprocess any unfinished operations, and kick off the review process—all concurrently.",764,"restart_service -> dispatch_approval_workflow, restart_service -> retry_failed_task, restart_service -> rotate_api_key",restart_service;rotate_api_key;retry_failed_task;dispatch_approval_workflow,0->1;0->2;0->3,fanout_3,azure_gpt4o,candidate_only,FALSE,FALSE,restart_service;rotate_api_key;retry_failed_task;dispatch_approval_workflow,45,5c1eca3140efb8b7,17aca7d328024a36,4,3,lexical,17aca7d328024a36,False,campaign_v4
"Begin by rebooting the system, then once that's complete, rotate security configurations, handle incomplete operations, and initiate the review process together. These final steps must happen simultaneously after the initial reboot.",764,"restart_service -> dispatch_approval_workflow, restart_service -> retry_failed_task, restart_service -> rotate_api_key",restart_service;rotate_api_key;retry_failed_task;dispatch_approval_workflow,0->1;0->2;0->3,fanout_3,azure_gpt4o,candidate_only,FALSE,FALSE,restart_service;rotate_api_key;retry_failed_task;dispatch_approval_workflow,45,5c1eca3140efb8b7,17aca7d328024a36,4,3,confusable,17aca7d328024a36,False,campaign_v4
"Please restart the service, rotate the API key, and retry the failed task all at the same time. Once those are done, proceed with dispatching the approval workflow.",765,"restart_service -> dispatch_approval_workflow, retry_failed_task -> dispatch_approval_workflow, rotate_api_key -> dispatch_approval_workflow",restart_service;rotate_api_key;retry_failed_task;dispatch_approval_workflow,0->3;1->3;2->3,fanin_3,azure_gpt4o,candidate_only,FALSE,FALSE,restart_service;rotate_api_key;retry_failed_task;dispatch_approval_workflow,45,3094b30a261148ce,17aca7d328024a36,4,3,standard,17aca7d328024a36,False,campaign_v4
