version,tier,file,rows,unique_queries,unique_phrasings,redundant_pct,toolname_leaks
upgraded_v2,15,dev,564,564,564,0.0,0
v1,15,dev,564,564,417,26.1,0
upgraded_v2,15,test_topology_heldout,592,592,592,0.0,0
v1,15,test_topology_heldout,592,592,429,27.5,0
upgraded_v2,15,train,2814,2814,2814,0.0,0
v1,15,train,2814,2814,2010,28.6,0
upgraded_v2,30,dev,332,332,332,0.0,0
v1,30,dev,332,313,137,58.7,15
upgraded_v2,30,test_topology_heldout,332,332,332,0.0,0
v1,30,test_topology_heldout,332,322,137,58.7,7
upgraded_v2,30,train,1396,1396,1396,0.0,0
v1,30,train,1396,1331,601,56.9,49
upgraded_v2,45,dev,450,450,450,0.0,0
v1,45,dev,450,450,450,0.0,22
upgraded_v2,45,test_topology_heldout,1100,1100,1100,0.0,0
v1,45,test_topology_heldout,1100,1100,1056,4.0,76
upgraded_v2,45,train,3870,3870,3870,0.0,0
v1,45,train,3870,3870,2848,26.4,203
