id,query,ground_truth,domain_note
0,look up the record for #60122.,query_database,
1,pull Alice's account details.,query_database,
2,retrieve information on Frank.,query_database,
3,check the database entry for Charlie.,query_database,
4,fetch the record linked to #20891.,query_database,
5,search for transaction #20891 in the database.,query_database,
6,bring up Bob's account information.,query_database,
7,search the database for Frank.,query_database,
8,Please look up the record for Alice.,query_database,
9,Please retrieve the entry for #60122.,query_database,
10,Please retrieve information on Frank.,query_database,
11,Please check the database entry for Eve.,query_database,
12,Please fetch the record linked to #10234.,query_database,
13,Please search for transaction #53698 in the database.,query_database,
14,Please bring up Diana's account information.,query_database,
15,Please search the database for Alice.,query_database,
16,Can you look up the record for Alice?,query_database,
17,Can you pull Bob's account details?,query_database,
18,Can you check the database for #53698?,query_database,
19,Can you pull the details associated with #53698?,query_database,
20,Can you fetch Alice's profile from the database?,query_database,
21,Can you read the record tied to Eve?,query_database,
22,Can you bring up the database entry for #20891?,query_database,
23,Can you read back the data for #60122?,query_database,
24,Could you look up the record for #60122 for me?,query_database,
25,Could you pull Frank's account details for me?,query_database,
26,Could you retrieve information on Eve for me?,query_database,
27,Could you check the database entry for Diana for me?,query_database,
28,Could you fetch the record linked to #20891 for me?,query_database,
29,Could you search for transaction #42017 in the database for me?,query_database,
30,Could you bring up the database entry for #31450 for me?,query_database,
31,Could you read back the data for #10234 for me?,query_database,
32,I need you to look up the record for #20891.,query_database,
33,I need you to retrieve the entry for #60122.,query_database,
34,I need you to retrieve information on Diana.,query_database,
35,I need you to pull the details associated with #31450.,query_database,
36,I need you to fetch the record linked to #31450.,query_database,
37,I need you to read the record tied to Bob.,query_database,
38,I need you to bring up Bob's account information.,query_database,
39,I need you to search the database for Grace.,query_database,
40,We should look up the record for Charlie.,query_database,
41,We should pull Alice's account details.,query_database,
42,We should retrieve information on Alice.,query_database,
43,We should check the database entry for Diana.,query_database,
44,We should fetch the record linked to #10234.,query_database,
45,We should read the record tied to Charlie.,query_database,
46,We should bring up Grace's account information.,query_database,
47,We should search the database for Charlie.,query_database,
48,Let's look up the record for Charlie.,query_database,
49,Let's retrieve the entry for #10234.,query_database,
50,Let's check the database for #60122.,query_database,
51,Let's pull the details associated with #42017.,query_database,
52,Let's fetch Eve's profile from the database.,query_database,
53,Let's search for transaction #10234 in the database.,query_database,
54,Let's bring up Alice's account information.,query_database,
55,Let's search the database for Eve.,query_database,
56,Kindly look up the record for #31450.,query_database,
57,Kindly pull Grace's account details.,query_database,
58,Kindly check the database for #60122.,query_database,
59,Kindly check the database entry for Eve.,query_database,
60,Kindly fetch Grace's profile from the database.,query_database,
61,Kindly read the record tied to Charlie.,query_database,
62,Kindly bring up the database entry for #53698.,query_database,
63,Kindly search the database for Bob.,query_database,
64,"When you have a moment, look up the record for Frank.",query_database,
65,"When you have a moment, retrieve the entry for #10234.",query_database,
66,"When you have a moment, retrieve information on Frank.",query_database,
67,save the latest data for Bob to the database.,update_database,
68,write Grace's updated information back to the database.,update_database,
69,persist the database changes for Marketing.,update_database,
70,commit the new record for Alice to the database.,update_database,
71,update the stored Finance settings in the database.,update_database,
72,store the revised details for Grace.,update_database,
73,push the latest update for #10234 into the database.,update_database,
74,apply the database update for Diana.,update_database,
75,Please save the changes for #31450 to the database.,update_database,
76,Please write Diana's updated information back to the database.,update_database,
77,Please persist the changes for Frank.,update_database,
78,Please commit the new record for Grace to the database.,update_database,
79,Please update the database entry for #31450.,update_database,
80,Please write the revised Finance config back.,update_database,
81,Please push the Marketing database changes live.,update_database,
82,Please apply the database update for Finance.,update_database,
83,Can you save the latest data for Frank to the database?,update_database,
84,Can you write Charlie's updated information back to the database?,update_database,
85,Can you persist the database update for #53698?,update_database,
86,Can you commit the new record for Frank to the database?,update_database,
87,Can you update the stored Finance settings in the database?,update_database,
88,Can you store the revised data tied to #53698?,update_database,
89,Can you push Frank's data update into the database?,update_database,
90,Can you apply the database update for Bob?,update_database,
91,Could you store the Finance configuration in the database for me?,update_database,
92,Could you write the updated data for #42017 back to the database for me?,update_database,
93,Could you persist the changes for Diana for me?,update_database,
94,Could you commit the new record for Charlie to the database for me?,update_database,
95,Could you update the database entry for Frank for me?,update_database,
96,Could you store the revised data tied to #60122 for me?,update_database,
97,Could you push Eve's data update into the database for me?,update_database,
98,Could you apply the database update for Bob for me?,update_database,
99,I need you to save the latest data for Frank to the database.,update_database,
100,I need you to write Charlie's updated information back to the database.,update_database,
101,I need you to persist the changes for Grace.,update_database,
102,I need you to commit the Engineering configuration update.,update_database,
103,I need you to update the database entry for Grace.,update_database,
104,I need you to store the revised details for Alice.,update_database,
105,I need you to push Grace's data update into the database.,update_database,
106,I need you to apply the database write for #31450.,update_database,
107,We should save the latest data for Diana to the database.,update_database,
108,We should write Charlie's updated information back to the database.,update_database,
109,We should persist the database update for #10234.,update_database,
110,We should commit the new record for Bob to the database.,update_database,
111,We should update the database entry for Eve.,update_database,
112,We should store the revised details for Frank.,update_database,
113,We should push Charlie's data update into the database.,update_database,
114,We should apply the database update for Finance.,update_database,
115,Let's save the latest data for Frank to the database.,update_database,
116,Let's write the updated data for #42017 back to the database.,update_database,
117,Let's persist the database update for #42017.,update_database,
118,Let's commit the Legal configuration update.,update_database,
119,Let's update the database entry for Bob.,update_database,
120,Let's store the revised details for Charlie.,update_database,
121,Let's push Bob's data update into the database.,update_database,
122,Let's apply the database update for Bob.,update_database,
123,Kindly save the latest data for Frank to the database.,update_database,
124,Kindly write Eve's updated information back to the database.,update_database,
125,Kindly persist the changes for Eve.,update_database,
126,Kindly commit the new record for Charlie to the database.,update_database,
127,Kindly update the database entry for Frank.,update_database,
128,Kindly store the revised details for Eve.,update_database,
129,Kindly push Diana's data update into the database.,update_database,
130,Kindly apply the database update for HR.,update_database,
131,"When you have a moment, save the latest data for Diana to the database.",update_database,
132,"When you have a moment, write the updated data for #31450 back to the database.",update_database,
133,"When you have a moment, persist the changes for Bob.",update_database,
134,reset Bob's password.,reset_password,
135,issue a new password for Eve.,reset_password,
136,force a password reset for Alice.,reset_password,
137,rotate Grace's login credentials.,reset_password,
138,replace Alice's current password.,reset_password,
139,set a fresh password for Grace.,reset_password,
140,trigger a credential reset for Alice.,reset_password,
141,invalidate the old password and create a new one for Bob.,reset_password,
142,Please reset Frank's password.,reset_password,
