source_row_id,original_query,transformed_query,label,generation_type,lexical_cues_removed,paraphrase_family,confusable_with
-1,,Query payment-api-03 to see if it's still alive.,check_status,confusable_intent,,,query_database
-1,,Look up how staging-db-02 is performing.,check_status,confusable_intent,,,query_database
-1,,Scan payment-api-03 -- is it healthy?,check_status,confusable_intent,,,scan_malware
-1,,Look up how cdn-edge-06 is performing.,check_status,confusable_intent,,,query_database
-1,,Query auth-svc-04 to see if it's still alive.,check_status,confusable_intent,,,query_database
-1,,Look up how auth-svc-04 is performing.,check_status,confusable_intent,,,query_database
-1,,Look up how prod-web-01 is performing.,check_status,confusable_intent,,,query_database
-1,,Look up how payment-api-03 is performing.,check_status,confusable_intent,,,query_database
-1,,Look up how ml-infer-05 is performing.,check_status,confusable_intent,,,query_database
-1,,Scan auth-svc-04 -- is it healthy?,check_status,confusable_intent,,,scan_malware
-1,,Query prod-web-01 to see if it's still alive.,check_status,confusable_intent,,,query_database
-1,,Scan staging-db-02 -- is it healthy?,check_status,confusable_intent,,,scan_malware
-1,,Query staging-db-02 to see if it's still alive.,check_status,confusable_intent,,,query_database
-1,,Scan ml-infer-05 -- is it healthy?,check_status,confusable_intent,,,scan_malware
-1,,Scan prod-web-01 -- is it healthy?,check_status,confusable_intent,,,scan_malware
-1,,Query ml-infer-05 to see if it's still alive.,check_status,confusable_intent,,,query_database
-1,,Scan cdn-edge-06 -- is it healthy?,check_status,confusable_intent,,,scan_malware
-1,,Query cdn-edge-06 to see if it's still alive.,check_status,confusable_intent,,,query_database
-1,,Scan payment-api-03 -- is it healthy?,check_status,confusable_intent,,,scan_malware
-1,,Scan prod-web-01 -- is it healthy?,check_status,confusable_intent,,,scan_malware
-1,,Query cdn-edge-06 to see if it's still alive.,check_status,confusable_intent,,,query_database
-1,,Look up how cdn-edge-06 is performing.,check_status,confusable_intent,,,query_database
-1,,Scan prod-web-01 -- is it healthy?,check_status,confusable_intent,,,scan_malware
-1,,Scan cdn-edge-06 -- is it healthy?,check_status,confusable_intent,,,scan_malware
-1,,Look up how prod-web-01 is performing.,check_status,confusable_intent,,,query_database
-1,,Scan payment-api-03 -- is it healthy?,check_status,confusable_intent,,,scan_malware
-1,,Query payment-api-03 to see if it's still alive.,check_status,confusable_intent,,,query_database
-1,,Scan cdn-edge-06 -- is it healthy?,check_status,confusable_intent,,,scan_malware
-1,,Query payment-api-03 to see if it's still alive.,check_status,confusable_intent,,,query_database
-1,,Query prod-web-01 to see if it's still alive.,check_status,confusable_intent,,,query_database
-1,,Notify the team by creating a formal issue for cdn-edge-06.,create_ticket,confusable_intent,,,send_notification
-1,,Log Diana's complaint so we can follow up.,create_ticket,confusable_intent,,,log_audit_event
-1,,Log Frank's complaint so we can follow up.,create_ticket,confusable_intent,,,log_audit_event
-1,,Send a record of this problem to the tracking system.,create_ticket,confusable_intent,,,send_notification
-1,,Notify the team by creating a formal issue for ml-infer-05.,create_ticket,confusable_intent,,,send_notification
-1,,Notify the team by creating a formal issue for payment-api-03.,create_ticket,confusable_intent,,,send_notification
-1,,Log Grace's complaint so we can follow up.,create_ticket,confusable_intent,,,log_audit_event
-1,,Notify the team by creating a formal issue for staging-db-02.,create_ticket,confusable_intent,,,send_notification
-1,,Notify the team by creating a formal issue for auth-svc-04.,create_ticket,confusable_intent,,,send_notification
-1,,Notify the team by creating a formal issue for prod-web-01.,create_ticket,confusable_intent,,,send_notification
-1,,Log Charlie's complaint so we can follow up.,create_ticket,confusable_intent,,,log_audit_event
-1,,Log Eve's complaint so we can follow up.,create_ticket,confusable_intent,,,log_audit_event
-1,,Log Bob's complaint so we can follow up.,create_ticket,confusable_intent,,,log_audit_event
-1,,Log Alice's complaint so we can follow up.,create_ticket,confusable_intent,,,log_audit_event
-1,,Log Bob's complaint so we can follow up.,create_ticket,confusable_intent,,,log_audit_event
-1,,Log Diana's complaint so we can follow up.,create_ticket,confusable_intent,,,log_audit_event
-1,,Log Eve's complaint so we can follow up.,create_ticket,confusable_intent,,,log_audit_event
-1,,Notify the team by creating a formal issue for cdn-edge-06.,create_ticket,confusable_intent,,,send_notification
-1,,Send a record of this problem to the tracking system.,create_ticket,confusable_intent,,,send_notification
-1,,Send a record of this problem to the tracking system.,create_ticket,confusable_intent,,,send_notification
-1,,Notify the team by creating a formal issue for cdn-edge-06.,create_ticket,confusable_intent,,,send_notification
-1,,Notify the team by creating a formal issue for auth-svc-04.,create_ticket,confusable_intent,,,send_notification
-1,,Log Charlie's complaint so we can follow up.,create_ticket,confusable_intent,,,log_audit_event
-1,,Log Frank's complaint so we can follow up.,create_ticket,confusable_intent,,,log_audit_event
-1,,Send a record of this problem to the tracking system.,create_ticket,confusable_intent,,,send_notification
-1,,Send a record of this problem to the tracking system.,create_ticket,confusable_intent,,,send_notification
-1,,Send a record of this problem to the tracking system.,create_ticket,confusable_intent,,,send_notification
