tool,precision,recall,f1,support
db_read,0.819672131147541,0.7142857142857143,0.7633587786259542,70
db_write,0.7037037037037037,0.8444444444444444,0.7676767676767676,90
reset_password,0.9659090909090909,1.0,0.9826589595375722,85
create_ticket,0.7547169811320755,0.7272727272727273,0.7407407407407407,110
send_notification,0.7945205479452054,0.58,0.6705202312138728,100
quarantine_system,0.6041666666666666,0.38666666666666666,0.4715447154471545,75
scan_malware,0.9565217391304348,0.5866666666666667,0.7272727272727273,75
generate_report,0.46511627906976744,0.8,0.5882352941176471,50
process_refund,0.7244897959183674,0.8352941176470589,0.7759562841530054,85
update_subscription,0.9230769230769231,1.0,0.96,60
provision_vm,0.6220472440944882,0.7523809523809524,0.6810344827586207,105
restart_service,0.9818181818181818,0.72,0.8307692307692308,75
check_status,0.8202247191011236,0.6347826086956522,0.7156862745098039,115
escalate_to_human,0.7708333333333334,0.925,0.8409090909090909,80
log_audit_event,0.5229357798165137,0.7125,0.6031746031746031,80
