id,query,ground_truth,domain_note,ground_truth_tool,class_id,predicted_tool,correct,rank,top5_tools
0,look up the record for #60122.,query_database,,db_read,0,db_read,True,1,db_read;generate_report;db_write;process_refund;check_status
1,pull Alice's account details.,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;log_audit_event;process_refund
2,retrieve information on Frank.,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;check_status;create_ticket
3,check the database entry for Charlie.,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;log_audit_event;check_status
4,fetch the record linked to #20891.,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;process_refund;create_ticket
5,search for transaction #20891 in the database.,query_database,,db_read,0,db_read,True,1,db_read;db_write;log_audit_event;generate_report;process_refund
6,bring up Bob's account information.,query_database,,db_read,0,db_read,True,1,db_read;db_write;process_refund;generate_report;update_subscription
7,search the database for Frank.,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;create_ticket;process_refund
8,Please look up the record for Alice.,query_database,,db_read,0,log_audit_event,False,2,log_audit_event;db_read;db_write;generate_report;process_refund
9,Please retrieve the entry for #60122.,query_database,,db_read,0,db_read,True,1,db_read;generate_report;db_write;process_refund;log_audit_event
10,Please retrieve information on Frank.,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;create_ticket;check_status
11,Please check the database entry for Eve.,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;log_audit_event;provision_vm
12,Please fetch the record linked to #10234.,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;process_refund;log_audit_event
13,Please search for transaction #53698 in the database.,query_database,,db_read,0,db_read,True,1,db_read;db_write;log_audit_event;generate_report;process_refund
14,Please bring up Diana's account information.,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;log_audit_event;process_refund
15,Please search the database for Alice.,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;log_audit_event;create_ticket
16,Can you look up the record for Alice?,query_database,,db_read,0,db_read,True,1,db_read;log_audit_event;db_write;generate_report;process_refund
17,Can you pull Bob's account details?,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;reset_password;log_audit_event
18,Can you check the database for #53698?,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;log_audit_event;check_status
19,Can you pull the details associated with #53698?,query_database,,db_read,0,db_read,True,1,db_read;generate_report;db_write;process_refund;log_audit_event
20,Can you fetch Alice's profile from the database?,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;reset_password;scan_malware
21,Can you read the record tied to Eve?,query_database,,db_read,0,db_write,False,3,db_write;generate_report;db_read;log_audit_event;check_status
22,Can you bring up the database entry for #20891?,query_database,,db_read,0,db_write,False,2,db_write;db_read;generate_report;log_audit_event;process_refund
23,Can you read back the data for #60122?,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;process_refund;log_audit_event
24,Could you look up the record for #60122 for me?,query_database,,db_read,0,db_read,True,1,db_read;generate_report;db_write;process_refund;log_audit_event
25,Could you pull Frank's account details for me?,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;process_refund;update_subscription
26,Could you retrieve information on Eve for me?,query_database,,db_read,0,db_read,True,1,db_read;generate_report;db_write;log_audit_event;check_status
27,Could you check the database entry for Diana for me?,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;log_audit_event;check_status
28,Could you fetch the record linked to #20891 for me?,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;create_ticket;process_refund
29,Could you search for transaction #42017 in the database for me?,query_database,,db_read,0,db_read,True,1,db_read;db_write;log_audit_event;generate_report;process_refund
30,Could you bring up the database entry for #31450 for me?,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;log_audit_event;create_ticket
31,Could you read back the data for #10234 for me?,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;process_refund;log_audit_event
32,I need you to look up the record for #20891.,query_database,,db_read,0,generate_report,False,5,generate_report;db_write;process_refund;create_ticket;db_read
33,I need you to retrieve the entry for #60122.,query_database,,db_read,0,db_read,True,1,db_read;generate_report;db_write;process_refund;log_audit_event
34,I need you to retrieve information on Diana.,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;log_audit_event;process_refund
35,I need you to pull the details associated with #31450.,query_database,,db_read,0,generate_report,False,2,generate_report;db_read;db_write;process_refund;create_ticket
36,I need you to fetch the record linked to #31450.,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;create_ticket;process_refund
37,I need you to read the record tied to Bob.,query_database,,db_read,0,log_audit_event,False,2,log_audit_event;db_read;generate_report;process_refund;db_write
38,I need you to bring up Bob's account information.,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;process_refund;reset_password
