query,dag_id,dag_text,tools,edges,topo_family,source,split,strict_fix_applied,had_duplicate_node_labels,original_tools
Standard procedure here: take metrics-prom-12 back to the prior build and simultaneously file an incident report about queue-rabbit-08 and restore the DB snapshot for Finance. This one's time-sensitive.,433,"rollback_deployment -> create_ticket, rollback_deployment -> restore_backup",rollback_deployment;create_ticket;restore_backup,0->1;0->2,fanout,original,train,FALSE,FALSE,rollback_deployment;create_ticket;restore_backup
"Heads-up, we need to provision a new instance for Support. Only once that succeeds, send a heads-up to Legal. Appreciate it.",79,provision_vm -> send_notification,provision_vm;send_notification,0->1,chain_short,original,train,FALSE,FALSE,provision_vm;send_notification
"Omar is asking us to run a malware sweep on search-es-09. After that, isolate cdn-edge-06 and together with that fire off a notification to Frank and create an audit trail for #71003.",142,"quarantine_system -> log_audit_event, quarantine_system -> send_notification, scan_malware -> quarantine_system",scan_malware;quarantine_system;send_notification;log_audit_event,0->1;1->2;1->3,fanout,original,train,FALSE,FALSE,scan_malware;quarantine_system;send_notification;log_audit_event
"Following up on INC-5127 — look up the records for #60122 and sweep queue-rabbit-08 for IOCs. With both results in hand, make a compliance log about Frank.",12,"db_read -> log_audit_event, scan_malware -> log_audit_event",db_read;scan_malware;log_audit_event,0->2;1->2,fanin,original,train,FALSE,FALSE,db_read;scan_malware;log_audit_event
"Quick one — swap out search-es-09's credentials, after which please pull Hector's credentials for batch-worker-10. Wrapping up, grant Irene permissions to ml-infer-05.",321,"revoke_access -> approve_access, rotate_api_key -> revoke_access",rotate_api_key;revoke_access;approve_access,0->1;1->2,chain_medium,original,train,FALSE,FALSE,rotate_api_key;revoke_access;approve_access
"Quick one — change Irene's plan. Subsequently, shut down the feature on search-es-09.",174,update_subscription -> disable_feature_flag,update_subscription;disable_feature_flag,0->1,chain_short,original,train,FALSE,FALSE,update_subscription;disable_feature_flag
"New request from Eve: assess payment-api-03's status. Once that's done, create an audit trail for #11290. Lastly, update Maya's subscription. Alice is waiting on this.",308,"check_status -> log_audit_event, log_audit_event -> update_subscription",check_status;log_audit_event;update_subscription,0->1;1->2,chain_medium,original,train,FALSE,FALSE,check_status;log_audit_event;update_subscription
"Engineering escalated this: quarantine auth-svc-04. Right after, log the whole prod-web-01 incident. This one's time-sensitive.",63,quarantine_system -> log_audit_event,quarantine_system;log_audit_event,0->1,chain_short,original,train,FALSE,FALSE,quarantine_system;log_audit_event
"Standard procedure here: reverse the charge on #22874. Next, generate a new API key for search-es-09. To close this out, write the new data for #93781 back. Thanks.",332,"process_refund -> rotate_api_key, rotate_api_key -> db_write",process_refund;rotate_api_key;db_write,0->1;1->2,chain_medium,original,train,FALSE,FALSE,process_refund;rotate_api_key;db_write
"Hey, can you run a malware sweep on gateway-nginx-11. Next, fire off a notification to Rosa. Right after, cold-store the old records for Maya. Last of all, create a virtual machine for Security.",412,"archive_data -> provision_vm, scan_malware -> send_notification, send_notification -> archive_data",scan_malware;send_notification;archive_data;provision_vm,0->1;1->2;2->3,chain_medium,original,train,FALSE,FALSE,scan_malware;send_notification;archive_data;provision_vm
"Time to log the whole payment-api-03 incident. After that, reboot staging-db-02. This one's time-sensitive.",258,log_audit_event -> restart_service,log_audit_event;restart_service,0->1,chain_short,original,train,FALSE,FALSE,log_audit_event;restart_service
"On behalf of HR, switch Priya to the new plan. That done, assess ml-infer-05's status. Tracking under INC-8842.",194,update_subscription -> check_status,update_subscription;check_status,0->1,chain_short,original,train,FALSE,FALSE,update_subscription;check_status
"Do me a favor and see what's going on with auth-svc-04. After that, do a security check on staging-db-02. As soon as that clears, yank metrics-prom-12 off the network — then bounce auth-svc-04, after which please loop in a Marketing manager, and then shoot Irene an email. Lastly, record the event in HR's log.",16,"check_status -> scan_malware, escalate_to_human -> send_notification, quarantine_system -> restart_service, restart_service -> escalate_to_human, scan_malware -> quarantine_system, send_notification -> log_audit_event",check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,original,train,FALSE,FALSE,check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event
"The Finance team needs us to scale batch-worker-10 down to save costs. That done, ship the new build to metrics-prom-12. To wrap up, enable the flag for cdn-edge-06. Charlie is waiting on this.",287,"deploy_container -> enable_feature_flag, scale_service -> deploy_container",scale_service;deploy_container;enable_feature_flag,0->1;1->2,chain_medium,original,train,FALSE,FALSE,scale_service;deploy_container;enable_feature_flag
Priority request — assess staging-db-02's status and at the same time restart the service on prod-web-01 and open a ticket for James. Omar is waiting on this.,111,"check_status -> create_ticket, check_status -> restart_service",check_status;restart_service;create_ticket,0->1;0->2,fanout,original,train,FALSE,FALSE,check_status;restart_service;create_ticket
