,db_read,db_write,reset_password,create_ticket,send_notification,quarantine_system,scan_malware,generate_report,process_refund,update_subscription,provision_vm,restart_service,check_status,escalate_to_human,log_audit_event
db_read,51,5,0,0,0,0,0,11,3,0,0,0,0,0,0
db_write,5,75,0,1,0,0,0,0,4,0,5,0,0,0,0
reset_password,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0
create_ticket,0,0,0,69,0,0,0,0,0,0,4,0,0,6,31
send_notification,0,0,2,0,59,2,0,5,11,0,9,0,0,5,7
quarantine_system,3,10,0,1,1,23,3,5,15,0,9,0,0,0,5
scan_malware,1,2,0,0,0,6,44,6,0,0,0,0,10,0,6
generate_report,0,0,0,0,0,0,0,42,0,0,0,0,3,0,5
process_refund,0,0,0,0,0,0,0,0,77,0,3,0,0,1,4
update_subscription,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0
provision_vm,0,1,0,14,0,1,0,0,0,2,78,3,0,6,0
restart_service,0,2,0,0,5,1,0,0,1,0,10,56,0,0,0
check_status,0,2,0,0,2,8,1,9,7,0,1,0,71,0,14
escalate_to_human,0,0,0,0,0,5,0,0,0,0,3,0,0,70,2
log_audit_event,6,4,0,0,0,0,0,4,0,0,0,0,0,0,66
