,db_read,db_write,reset_password,create_ticket,send_notification,quarantine_system,scan_malware,generate_report,process_refund,update_subscription,provision_vm,restart_service,check_status,escalate_to_human,log_audit_event
db_read,58,2,0,0,0,0,0,4,0,0,0,0,1,0,2
db_write,2,59,1,0,0,0,0,0,2,0,3,0,0,0,0
reset_password,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0
create_ticket,0,1,0,32,1,0,0,2,3,0,2,1,0,8,17
send_notification,0,0,1,1,36,3,0,1,5,1,9,0,0,4,6
quarantine_system,1,6,3,1,0,27,15,2,8,0,3,0,0,0,1
scan_malware,0,2,0,0,1,1,50,3,0,0,0,0,4,0,6
generate_report,0,0,0,0,0,0,1,50,2,0,0,0,2,0,12
process_refund,3,0,0,0,0,0,0,0,62,0,1,0,0,0,1
update_subscription,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0
provision_vm,0,0,0,6,0,3,1,1,1,2,46,3,0,4,0
restart_service,0,2,0,0,1,1,0,0,1,0,5,56,1,0,0
check_status,5,2,1,0,1,2,1,7,1,0,1,0,36,0,10
escalate_to_human,0,0,0,1,0,7,0,0,3,0,4,1,0,49,2
log_audit_event,4,1,0,0,0,0,0,3,1,0,0,0,0,0,58
