query,gt_tool,rank_of_one_node,top1_is_one_node,top1_dag_text,top1_cosine,gt_cosine
I'd like a pulse on payment-api-03.,check_status,2,False,generate_report -> send_notification,0.5257548689842224,0.5064373016357422
I'd like a pulse on auth-svc-04.,check_status,2,False,generate_report -> send_notification,0.5177733302116394,0.5146216750144958
Is everything okay with auth-svc-04?,check_status,2,False,create_ticket -> scan_malware,0.587183952331543,0.5603414177894592
Make sure this doesn't slip through the cracks.,create_ticket,4,False,create_ticket -> scan_malware,0.5417544841766357,0.43365901708602905
We need to track this issue with Bob.,create_ticket,2,False,generate_report -> send_notification,0.5889593958854675,0.5754194259643555
This needs to be logged for follow-up.,create_ticket,3,False,generate_report -> send_notification,0.5649949312210083,0.5066757202148438
We need a paper trail for the payment-api-03 issue.,create_ticket,6,False,create_ticket -> scan_malware,0.5659472346305847,0.44771429896354675
We need a paper trail for the auth-svc-04 issue.,create_ticket,4,False,create_ticket -> scan_malware,0.5810928344726562,0.47126373648643494
This should be documented somewhere official.,create_ticket,5,False,generate_report -> send_notification,0.6456239819526672,0.4717186391353607
Someone should formalize this complaint from Bob.,create_ticket,3,True,send_notification,0.7146627306938171,0.41928935050964355
Can we get a formal record of Charlie's problem?,create_ticket,2,False,generate_report -> send_notification,0.5087223052978516,0.4870988428592682
Can we get a formal record of Alice's problem?,create_ticket,2,False,generate_report -> send_notification,0.5269696712493896,0.4997358024120331
Someone should formalize this complaint from Eve.,create_ticket,3,True,send_notification,0.7335004806518555,0.4122855067253113
Eve reported something that needs tracking.,create_ticket,2,False,generate_report -> send_notification,0.6841189861297607,0.5850471258163452
We need to track this issue with Alice.,create_ticket,2,False,generate_report -> send_notification,0.600276529788971,0.598852276802063
We need a paper trail for the cdn-edge-06 issue.,create_ticket,5,False,"create_ticket -> generate_report, quarantine_system -> generate_report",0.5649459362030029,0.45264187455177307
We need to track this issue with Grace.,create_ticket,2,False,generate_report -> send_notification,0.5879791378974915,0.5677872896194458
Can we get a formal record of Diana's problem?,create_ticket,2,False,generate_report -> send_notification,0.5194671750068665,0.5061144828796387
Someone should formalize this complaint from Frank.,create_ticket,3,True,send_notification,0.6901074051856995,0.4368213415145874
Can we get a formal record of Eve's problem?,create_ticket,3,False,generate_report -> send_notification,0.5525974035263062,0.5025542378425598
Charlie reported something that needs tracking.,create_ticket,3,False,generate_report -> send_notification,0.6596143841743469,0.5837891101837158
Someone should formalize this complaint from Alice.,create_ticket,3,True,send_notification,0.7062981128692627,0.43275216221809387
Alice reported something that needs tracking.,create_ticket,2,False,generate_report -> send_notification,0.6745628714561462,0.586916446685791
Someone should formalize this complaint from Grace.,create_ticket,3,True,send_notification,0.7105657458305359,0.4063021242618561
Someone should formalize this complaint from Diana.,create_ticket,3,True,send_notification,0.706694483757019,0.42511531710624695
Someone should formalize this complaint from Charlie.,create_ticket,3,True,send_notification,0.6880943775177002,0.4210223853588104
We need a paper trail for the prod-web-01 issue.,create_ticket,4,False,create_ticket -> scan_malware,0.5560118556022644,0.4445846676826477
We need a paper trail for the ml-infer-05 issue.,create_ticket,4,False,generate_report -> send_notification,0.5799553990364075,0.45032939314842224
Can we get a formal record of Grace's problem?,create_ticket,2,False,generate_report -> send_notification,0.5159326791763306,0.47514647245407104
Grace reported something that needs tracking.,create_ticket,3,False,generate_report -> send_notification,0.6728467345237732,0.5795084834098816
We need to track this issue with Charlie.,create_ticket,2,False,generate_report -> send_notification,0.5763401389122009,0.5731984972953796
Eve reported something that needs tracking.,create_ticket,2,False,generate_report -> send_notification,0.6841189861297607,0.5850471258163452
Frank reported something that needs tracking.,create_ticket,2,False,generate_report -> send_notification,0.6527422666549683,0.594806969165802
Can we get a formal record of Bob's problem?,create_ticket,2,False,generate_report -> send_notification,0.5278978943824768,0.4983240067958832
This needs to be logged for follow-up.,create_ticket,3,False,generate_report -> send_notification,0.5649949312210083,0.5066757202148438
We need to track this issue with Eve.,create_ticket,3,False,create_ticket -> scan_malware,0.6081268191337585,0.5838722586631775
Bob reported something that needs tracking.,create_ticket,3,False,generate_report -> send_notification,0.6666046977043152,0.5763941407203674
Can we get a formal record of Frank's problem?,create_ticket,2,False,generate_report -> send_notification,0.5270975232124329,0.5025894641876221
We need a paper trail for the staging-db-02 issue.,create_ticket,4,False,create_ticket -> scan_malware,0.5736316442489624,0.4608186185359955
Diana reported something that needs tracking.,create_ticket,2,False,generate_report -> send_notification,0.6533249020576477,0.5930270552635193
This should be documented somewhere official.,create_ticket,5,False,generate_report -> send_notification,0.6456239819526672,0.4717186391353607
Make sure this doesn't slip through the cracks.,create_ticket,4,False,create_ticket -> scan_malware,0.5417544841766357,0.43365901708602905
We need to track this issue with Charlie.,create_ticket,2,False,generate_report -> send_notification,0.5763401389122009,0.5731984972953796
This needs to be logged for follow-up.,create_ticket,3,False,generate_report -> send_notification,0.5649949312210083,0.5066757202148438
Alice reported something that needs tracking.,create_ticket,2,False,generate_report -> send_notification,0.6745628714561462,0.586916446685791
Alice reported something that needs tracking.,create_ticket,2,False,generate_report -> send_notification,0.6745628714561462,0.586916446685791
Can we get a formal record of Eve's problem?,create_ticket,3,False,generate_report -> send_notification,0.5525974035263062,0.5025542378425598
We need a paper trail for the auth-svc-04 issue.,create_ticket,4,False,create_ticket -> scan_malware,0.5810928344726562,0.47126373648643494
We need a paper trail for the payment-api-03 issue.,create_ticket,6,False,create_ticket -> scan_malware,0.5659472346305847,0.44771429896354675
This needs to be logged for follow-up.,create_ticket,3,False,generate_report -> send_notification,0.5649949312210083,0.5066757202148438
Someone should formalize this complaint from Diana.,create_ticket,3,True,send_notification,0.706694483757019,0.42511531710624695
Can we get a formal record of Bob's problem?,create_ticket,2,False,generate_report -> send_notification,0.5278978943824768,0.4983240067958832
Alice's case is too nuanced for a bot.,escalate_to_human,4,True,create_ticket,0.4697090685367584,0.3984222710132599
This is beyond what automation can handle.,escalate_to_human,4,True,send_notification,0.5877849459648132,0.432542085647583
We need someone with judgment on this.,escalate_to_human,11,True,send_notification,0.46157848834991455,0.3271038830280304
Can we get a senior person to look at Grace's case?,escalate_to_human,5,True,create_ticket,0.48173364996910095,0.3712093234062195
Automation isn't going to resolve Eve's issue.,escalate_to_human,5,False,create_ticket -> scan_malware,0.5459862351417542,0.4452562928199768
Automation isn't going to resolve Bob's issue.,escalate_to_human,5,False,generate_report -> send_notification,0.5365113615989685,0.46071097254753113
Can we get a senior person to look at Eve's case?,escalate_to_human,5,True,create_ticket,0.5023201107978821,0.38724079728126526
Can we get a senior person to look at Bob's case?,escalate_to_human,5,True,create_ticket,0.4879281520843506,0.3797261416912079
Grace's case is too nuanced for a bot.,escalate_to_human,4,True,send_notification,0.43795695900917053,0.39288532733917236
Eve's case is too nuanced for a bot.,escalate_to_human,5,True,send_notification,0.4725450277328491,0.3967271149158478
Automation isn't going to resolve Frank's issue.,escalate_to_human,4,False,create_ticket -> scan_malware,0.5354970693588257,0.46204283833503723
Automation isn't going to resolve Grace's issue.,escalate_to_human,5,False,generate_report -> send_notification,0.5504171848297119,0.43307405710220337
Can we get a senior person to look at Charlie's case?,escalate_to_human,6,True,create_ticket,0.46739229559898376,0.3594261407852173
The automated response isn't going to cut it for Frank.,escalate_to_human,8,True,send_notification,0.6340570449829102,0.37973102927207947
Frank's case is too nuanced for a bot.,escalate_to_human,4,True,create_ticket,0.45879921317100525,0.3962465226650238
