query,dag_id,dag_text,tools,edges,source,topo_family,dag_hash
"Hey, can you push the changes for Frank to the DB and query the database about #31450, then converge and bounce prod-web-01. Last step: send a heads-up to Legal.",10000,"db_read -> restart_service, db_write -> restart_service, restart_service -> send_notification",db_write;db_read;restart_service;send_notification,0->2;1->2;2->3,generated,y_shape,5368919f3d5b81c8
"ASAP — store the Marketing config in the database and grab Alice's account details, then converge and give ml-infer-05 a kick. To wrap up, send a heads-up to Finance.",10000,"db_read -> restart_service, db_write -> restart_service, restart_service -> send_notification",db_write;db_read;restart_service;send_notification,0->2;1->2;2->3,generated,y_shape,5368919f3d5b81c8
"When you get a chance, commit Diana's update to the database and query the database about #42017, merge everything and cycle ml-infer-05. End with send a heads-up to Marketing.",10000,"db_read -> restart_service, db_write -> restart_service, restart_service -> send_notification",db_write;db_read;restart_service;send_notification,0->2;1->2;2->3,generated,y_shape,5368919f3d5b81c8
"I need you to persist Eve's data to the database and check the DB for Bob, then converge and restart the main process on ml-infer-05. Finally, send a heads-up to Marketing.",10000,"db_read -> restart_service, db_write -> restart_service, restart_service -> send_notification",db_write;db_read;restart_service;send_notification,0->2;1->2;2->3,generated,y_shape,5368919f3d5b81c8
"The Finance team needs us to open a ticket for Alice — in parallel, give Eve a new password, restart the service on cdn-edge-06, and push the changes for Bob to the DB, and lastly launch an instance for Legal.",10001,"create_ticket -> db_write, create_ticket -> reset_password, create_ticket -> restart_service, db_write -> provision_vm",create_ticket;reset_password;restart_service;db_write;provision_vm,0->1;0->2;0->3;3->4,generated,multi_branch_independent,83343406048a33d1
"Create a ticket about the Legal issue while also change Diana's auth credentials, give auth-svc-04 a kick, and write the new data for #60122 back. To wrap up, create a virtual machine for Legal.",10001,"create_ticket -> db_write, create_ticket -> reset_password, create_ticket -> restart_service, db_write -> provision_vm",create_ticket;reset_password;restart_service;db_write;provision_vm,0->1;0->2;0->3;3->4,generated,multi_branch_independent,83343406048a33d1
"When you get a chance, spin up a tracking ticket for Grace and simultaneously nuke Charlie's old login and issue a fresh one, give staging-db-02 a kick, and persist Bob's data to the database. Finally, provision a new instance for HR.",10001,"create_ticket -> db_write, create_ticket -> reset_password, create_ticket -> restart_service, db_write -> provision_vm",create_ticket;reset_password;restart_service;db_write;provision_vm,0->1;0->2;0->3;3->4,generated,multi_branch_independent,83343406048a33d1
"Do me a favor and create a ticket about the Finance issue — in parallel, change Grace's auth credentials, give auth-svc-04 a kick, and push the changes for Charlie to the DB. End with stand up a new box for Finance.",10001,"create_ticket -> db_write, create_ticket -> reset_password, create_ticket -> restart_service, db_write -> provision_vm",create_ticket;reset_password;restart_service;db_write;provision_vm,0->1;0->2;0->3;3->4,generated,multi_branch_independent,83343406048a33d1
"ASAP — record the event in Engineering's log. Next, process the payout for Charlie and simultaneously store the Marketing config in the database and update Eve's subscription.",10002,"log_audit_event -> process_refund, process_refund -> db_write, process_refund -> update_subscription",log_audit_event;process_refund;db_write;update_subscription,0->1;1->2;1->3,generated,inverted_y,8a2200cf810c0f8b
"Quick one — create an audit trail for #42017 — then push the refund through for #31450 — in parallel, push the changes for Diana to the DB and switch Alice to the new plan.",10002,"log_audit_event -> process_refund, process_refund -> db_write, process_refund -> update_subscription",log_audit_event;process_refund;db_write;update_subscription,0->1;1->2;1->3,generated,inverted_y,8a2200cf810c0f8b
"ASAP — drop an audit entry for ml-infer-05, then reverse the charge on #60122 and simultaneously save the changes for Frank to the DB and switch Grace to the new plan.",10002,"log_audit_event -> process_refund, process_refund -> db_write, process_refund -> update_subscription",log_audit_event;process_refund;db_write;update_subscription,0->1;1->2;1->3,generated,inverted_y,8a2200cf810c0f8b
"Per Alice's request, create an audit trail for #20891, and then push the refund through for #42017 and concurrently update Grace's record in the DB and update Diana's subscription.",10002,"log_audit_event -> process_refund, process_refund -> db_write, process_refund -> update_subscription",log_audit_event;process_refund;db_write;update_subscription,0->1;1->2;1->3,generated,inverted_y,8a2200cf810c0f8b
"Do me a favor and dig up the history on Eve and store the Engineering config in the database and concurrently make a compliance log about Charlie and open a ticket for Eve, then converge and bounce prod-web-01.",10003,"create_ticket -> restart_service, db_read -> log_audit_event, db_write -> create_ticket, log_audit_event -> restart_service",db_read;log_audit_event;db_write;create_ticket;restart_service,0->1;2->3;1->4;3->4,generated,w_shape,88300b8481fb27d4
"The Marketing team needs us to dig up the history on Charlie and persist Eve's data to the database while also record the event in Marketing's log and create a ticket about the Finance issue. Once both are done, reboot ml-infer-05.",10003,"create_ticket -> restart_service, db_read -> log_audit_event, db_write -> create_ticket, log_audit_event -> restart_service",db_read;log_audit_event;db_write;create_ticket;restart_service,0->1;2->3;1->4;3->4,generated,w_shape,88300b8481fb27d4
"When you get a chance, fetch #31450's info and persist Grace's data to the database — in parallel, record the event in Finance's log and create a ticket about the Engineering issue. When all of that's complete, give staging-db-02 a kick.",10003,"create_ticket -> restart_service, db_read -> log_audit_event, db_write -> create_ticket, log_audit_event -> restart_service",db_read;log_audit_event;db_write;create_ticket;restart_service,0->1;2->3;1->4;3->4,generated,w_shape,88300b8481fb27d4
"For the HR team, grab Frank's account details and persist Diana's data to the database and at the same time log the whole staging-db-02 incident and spin up a tracking ticket for Charlie. Once both are done, reboot auth-svc-04.",10003,"create_ticket -> restart_service, db_read -> log_audit_event, db_write -> create_ticket, log_audit_event -> restart_service",db_read;log_audit_event;db_write;create_ticket;restart_service,0->1;2->3;1->4;3->4,generated,w_shape,88300b8481fb27d4
