query,dag_id,dag_text,tools,edges,_valid,_topo_hash,_dag_hash,_topo_family
"Time to create an audit trail for #42017. Next, save the changes for Diana to the DB, and then see what's going on with prod-web-01. Finally, restart the main process on auth-svc-04.",388,"check_status -> restart_service, db_write -> check_status, log_audit_event -> db_write",log_audit_event;db_write;check_status;restart_service,0->1;1->2;2->3,True,38d6fe00e87709ec,c13be207107b9d77,chain_medium
"Urgent: downgrade Grace's account and send a heads-up to HR, merge everything and do a security check on auth-svc-04.",459,"send_notification -> scan_malware, update_subscription -> scan_malware",update_subscription;send_notification;scan_malware,0->2;1->2,True,2c0fe2d65641f8ac,1b596e3d8a1d9608,fanin
From Marketing: change Alice's plan and at the same time credit Charlie's account and quarantine staging-db-02.,412,"update_subscription -> process_refund, update_subscription -> quarantine_system",update_subscription;process_refund;quarantine_system,0->1;0->2,True,921735efccf80bf4,f1abe40f551c5eaa,fanout
"Per Alice's request, look up the records for #60122. Once that's done, spin up a tracking ticket for Grace.",57,db_read -> create_ticket,db_read;create_ticket,0->1,True,d734d7aefc1bad15,4721728029ce5718,chain_short
"For the Engineering team, compile a summary for HR, then investigate prod-web-01 for infections. End with give Alice their money back.",274,"generate_report -> scan_malware, scan_malware -> process_refund",generate_report;scan_malware;process_refund,0->1;1->2,True,e48779c27a089d04,34c108d936ff3458,chain_medium
"Ticket INC-1198 says notify the Finance team. Next, sweep prod-web-01 for IOCs. Last step: create a virtual machine for HR.",258,"scan_malware -> provision_vm, send_notification -> scan_malware",send_notification;scan_malware;provision_vm,0->1;1->2,True,e48779c27a089d04,3c5891fb35d7fecf,chain_medium
We gotta produce the Finance performance summary — then send a heads-up to Finance.,47,generate_report -> send_notification,generate_report;send_notification,0->1,True,d734d7aefc1bad15,69c8d0fbc2ce97c0,chain_short
"For the Finance team, cycle ml-infer-05, and then check if payment-api-03 is up.",185,restart_service -> check_status,restart_service;check_status,0->1,True,d734d7aefc1bad15,f81e11cad5b0a963,chain_short
"Cycle prod-web-01, followed by check if ml-infer-05 is up.",185,restart_service -> check_status,restart_service;check_status,0->1,True,d734d7aefc1bad15,f81e11cad5b0a963,chain_short
"Ticket INC-7733 says sweep staging-db-02 for IOCs — then see what's going on with payment-api-03, and lastly reverse the charge on #20891.",301,"check_status -> process_refund, scan_malware -> check_status",scan_malware;check_status;process_refund,0->1;1->2,True,e48779c27a089d04,c36bcc5d23d8141a,chain_medium
"Urgent: sweep payment-api-03 for IOCs. Next, open a ticket for Frank. To wrap up, hand Alice's issue off to an engineer.",81,"create_ticket -> escalate_to_human, scan_malware -> create_ticket",scan_malware;create_ticket;escalate_to_human,0->1;1->2,True,e48779c27a089d04,799f5ae1d0164526,chain_medium
"Ticket INC-4021 says cycle payment-api-03 and file a bug about prod-web-01, then converge and get a human involved for Alice.",462,"create_ticket -> escalate_to_human, restart_service -> escalate_to_human",restart_service;create_ticket;escalate_to_human,0->2;1->2,True,2c0fe2d65641f8ac,9633e03d9eaaa956,fanin
"Time to pull auth-svc-04 from production. Next, make a compliance log about Bob.",52,quarantine_system -> log_audit_event,quarantine_system;log_audit_event,0->1,True,d734d7aefc1bad15,974070caf7601b4a,chain_short
"We gotta blast an alert to Engineering, and then run a malware sweep on ml-infer-05. Finally, stand up a new box for HR.",258,"scan_malware -> provision_vm, send_notification -> scan_malware",send_notification;scan_malware;provision_vm,0->1;1->2,True,e48779c27a089d04,3c5891fb35d7fecf,chain_medium
"From Finance: check the DB for Charlie. Next, quarantine cdn-edge-06. End with record the event in Legal's log.",316,"db_read -> quarantine_system, quarantine_system -> log_audit_event",db_read;quarantine_system;log_audit_event,0->1;1->2,True,e48779c27a089d04,cc02215367c38887,chain_medium
"Urgent: pull staging-db-02 from production, then provision a new instance for Engineering.",193,quarantine_system -> provision_vm,quarantine_system;provision_vm,0->1,True,d734d7aefc1bad15,ffcba9bc28ad3334,chain_short
"Monitor the failure, restart the node and escalate, then consolidate into one ticket.",15,"check_status -> escalate_to_human, check_status -> restart_service, escalate_to_human -> create_ticket, restart_service -> create_ticket",check_status;restart_service;escalate_to_human;create_ticket,0->1;0->2;1->3;2->3,True,a95f0a5177fffecf,e20bcdd4c77f0f71,diamond
"Eve reported an issue — give Charlie their money back. Once that's done, record the event in Marketing's log.",63,process_refund -> log_audit_event,process_refund;log_audit_event,0->1,True,d734d7aefc1bad15,1fb6fe50fd1b7f6e,chain_short
"From Marketing: sweep auth-svc-04 for IOCs and see what's going on with auth-svc-04, then converge and create a support case for HR. End with shoot Bob an email.",125,"check_status -> create_ticket, create_ticket -> send_notification, scan_malware -> create_ticket",scan_malware;check_status;create_ticket;send_notification,0->2;1->2;2->3,True,04004610defffeed,a9e6fd0c4326fc38,fanin
All I need is for someone to shoot Eve an email.,44,send_notification,send_notification,,True,d7123e3b48f7b85a,3b5c38def94bf432,single_node
"Time to credit Bob's account, then make a compliance log about Eve.",63,process_refund -> log_audit_event,process_refund;log_audit_event,0->1,True,d734d7aefc1bad15,1fb6fe50fd1b7f6e,chain_short
"Time to provision a new instance for Legal. Next, escalate Diana's case to the on-call, and then pull Grace's data. Finally, rotate Alice's credentials.",360,"db_read -> reset_password, escalate_to_human -> db_read, provision_vm -> escalate_to_human",provision_vm;escalate_to_human;db_read;reset_password,0->1;1->2;2->3,True,38d6fe00e87709ec,667ae15acc439318,chain_medium
"Ticket INC-8842 says diagnose payment-api-03 while also sweep ml-infer-05 for IOCs and wake up the on-call about auth-svc-04. When all of that's complete, create a support case for HR.",119,"check_status -> escalate_to_human, check_status -> scan_malware, escalate_to_human -> create_ticket, scan_malware -> create_ticket",check_status;scan_malware;escalate_to_human;create_ticket,0->1;0->2;1->3;2->3,True,a95f0a5177fffecf,2138ed02b210ef4c,diamond
"Ticket INC-4021 says look up the records for #53698. Next, lock down prod-web-01. Finally, log Eve's action for compliance.",316,"db_read -> quarantine_system, quarantine_system -> log_audit_event",db_read;quarantine_system;log_audit_event,0->1;1->2,True,e48779c27a089d04,cc02215367c38887,chain_medium
"Sweep ml-infer-05 for IOCs. Once that's done, assess cdn-edge-06's status. Last step: push the refund through for #31450.",301,"check_status -> process_refund, scan_malware -> check_status",scan_malware;check_status;process_refund,0->1;1->2,True,e48779c27a089d04,c36bcc5d23d8141a,chain_medium
"Ticket INC-8842 says see what's going on with prod-web-01. After that, fire off a notification to Alice.",49,check_status -> send_notification,check_status;send_notification,0->1,True,d734d7aefc1bad15,24c5822365992d8c,chain_short
"I need you to blast an alert to HR. Next, do a security check on auth-svc-04. Last step: deploy a server for Legal.",258,"scan_malware -> provision_vm, send_notification -> scan_malware",send_notification;scan_malware;provision_vm,0->1;1->2,True,e48779c27a089d04,3c5891fb35d7fecf,chain_medium
"We need to warn Frank about the maintenance, get their info and email them.",3,db_read -> send_notification,db_read;send_notification,0->1,True,d734d7aefc1bad15,791afcf848559f00,chain_short
"From Legal: pull cdn-edge-06 from production, and then log Eve's action for compliance.",52,quarantine_system -> log_audit_event,quarantine_system;log_audit_event,0->1,True,d734d7aefc1bad15,974070caf7601b4a,chain_short
"Charlie is asking us to verify prod-web-01's health and check the DB for Bob. When all of that's complete, send a heads-up to HR.",114,"check_status -> send_notification, db_read -> send_notification",check_status;db_read;send_notification,0->2;1->2,True,2c0fe2d65641f8ac,041dccabf5393c9e,fanin
"Grace reported an issue — process the payout for Charlie. Once that's done, create a ticket about the Marketing issue. Last step: scan ml-infer-05 for threats.",346,"create_ticket -> scan_malware, process_refund -> create_ticket",process_refund;create_ticket;scan_malware,0->1;1->2,True,e48779c27a089d04,7ca3314df9d57afe,chain_medium
"Time to check if staging-db-02 is up, then store the Engineering config in the database.",174,check_status -> db_write,check_status;db_write,0->1,True,d734d7aefc1bad15,ae4329d66b08b124,chain_short
"Hey, can you rotate Grace's credentials, and then provision a new instance for Finance.",150,reset_password -> provision_vm,reset_password;provision_vm,0->1,True,d734d7aefc1bad15,bd3b6a151b9f7bfb,chain_short
"For the HR team, cycle prod-web-01, and then check if prod-web-01 is up.",185,restart_service -> check_status,restart_service;check_status,0->1,True,d734d7aefc1bad15,f81e11cad5b0a963,chain_short
"Check the DB records and scan auth-svc-04 for threats, then dump it all in the audit log.",12,"db_read -> log_audit_event, scan_malware -> log_audit_event",db_read;scan_malware;log_audit_event,0->2;1->2,True,2c0fe2d65641f8ac,e47ee04d569a02c6,fanin
"Per Frank's request, refund Eve, followed by log Eve's action for compliance.",63,process_refund -> log_audit_event,process_refund;log_audit_event,0->1,True,d734d7aefc1bad15,1fb6fe50fd1b7f6e,chain_short
"Alice reported an issue — lock down staging-db-02, then verify auth-svc-04's health. After that, provision a new instance for Marketing, and lastly hand Eve's issue off to an engineer.",377,"check_status -> provision_vm, provision_vm -> escalate_to_human, quarantine_system -> check_status",quarantine_system;check_status;provision_vm;escalate_to_human,0->1;1->2;2->3,True,38d6fe00e87709ec,3fe81f7e3b6db22d,chain_medium
"From Marketing: log Eve's action for compliance, then lock down staging-db-02.",172,log_audit_event -> quarantine_system,log_audit_event;quarantine_system,0->1,True,d734d7aefc1bad15,4c9332280c8fa063,chain_short
"ASAP — downgrade Grace's account and ping Frank about it. Once both are done, scan staging-db-02 for threats.",459,"send_notification -> scan_malware, update_subscription -> scan_malware",update_subscription;send_notification;scan_malware,0->2;1->2,True,2c0fe2d65641f8ac,1b596e3d8a1d9608,fanin
Quick task: look up the records for #42017.,40,db_read,db_read,,True,d7123e3b48f7b85a,c075ba5194905a51,single_node
"For the Legal team, store the Marketing config in the database, followed by nuke Bob's old login and issue a fresh one, and then process the payout for Alice. Finally, blast an alert to HR.",366,"db_write -> reset_password, process_refund -> send_notification, reset_password -> process_refund",db_write;reset_password;process_refund;send_notification,0->1;1->2;2->3,True,38d6fe00e87709ec,057a54179e566f60,chain_medium
"Ticket INC-8842 says scan ml-infer-05 for threats and verify auth-svc-04's health, then converge and spin up a tracking ticket for Charlie. Finally, fire off a notification to Charlie.",125,"check_status -> create_ticket, create_ticket -> send_notification, scan_malware -> create_ticket",scan_malware;check_status;create_ticket;send_notification,0->2;1->2;2->3,True,04004610defffeed,a9e6fd0c4326fc38,fanin
