query,positive_dag_id,negative_dag_id,negative_type,neg_tools,neg_edges,neg_dag_text
"Grab Diana's account details, then assign the admin role to Eve. To wrap up, restore the DB snapshot for HR.",366,neg_0,swap_edges,db_read;assign_role;restore_backup,0->1;0->2,"db_read -> assign_role, db_read -> restore_backup"
"Grab Diana's account details, then assign the admin role to Eve. To wrap up, restore the DB snapshot for HR.",366,neg_1,swap_tools,backup_database;approve_access;rollback_deployment,0->1;1->2,"approve_access -> rollback_deployment, backup_database -> approve_access"
"Grab Diana's account details, then assign the admin role to Eve. To wrap up, restore the DB snapshot for HR.",366,neg_2,remove_edge,db_read;assign_role;restore_backup,1->2,assign_role -> restore_backup
"Grab Diana's account details, then assign the admin role to Eve. To wrap up, restore the DB snapshot for HR.",366,neg_3,add_edge,db_read;assign_role;restore_backup,0->1;1->2;0->2,"assign_role -> restore_backup, db_read -> assign_role, db_read -> restore_backup"
"Grab Diana's account details, then assign the admin role to Eve. To wrap up, restore the DB snapshot for HR.",366,neg_4,extra_node,db_read;assign_role;restore_backup;trigger_failover,0->1;1->2;2->3,"assign_role -> restore_backup, db_read -> assign_role, restore_backup -> trigger_failover"
"ASAP — fetch #53698's info, then reset Diana's password, and lastly send a heads-up to Engineering.",101,neg_5,swap_edges,db_read;reset_password;send_notification,1->0;0->2,"db_read -> send_notification, reset_password -> db_read"
"ASAP — fetch #53698's info, then reset Diana's password, and lastly send a heads-up to Engineering.",101,neg_6,swap_tools,scan_malware;export_data;scale_service,0->1;1->2,"export_data -> scale_service, scan_malware -> export_data"
"ASAP — fetch #53698's info, then reset Diana's password, and lastly send a heads-up to Engineering.",101,neg_7,remove_edge,db_read;reset_password;send_notification,0->1,db_read -> reset_password
"ASAP — fetch #53698's info, then reset Diana's password, and lastly send a heads-up to Engineering.",101,neg_8,add_edge,db_read;reset_password;send_notification,0->1;1->2;0->2,"db_read -> reset_password, db_read -> send_notification, reset_password -> send_notification"
"ASAP — fetch #53698's info, then reset Diana's password, and lastly send a heads-up to Engineering.",101,neg_9,extra_node,db_read;reset_password;send_notification;create_alert_rule,0->1;1->2;0->3,"db_read -> create_alert_rule, db_read -> reset_password, reset_password -> send_notification"
"Time to nuke Grace's old login and issue a fresh one. After that, persist Diana's data to the database. Last step: fire off a notification to Grace.",98,neg_10,swap_edges,reset_password;db_write;send_notification,1->0;1->2,"db_write -> reset_password, db_write -> send_notification"
"Time to nuke Grace's old login and issue a fresh one. After that, persist Diana's data to the database. Last step: fire off a notification to Grace.",98,neg_11,swap_tools,deploy_container;scale_service;schedule_maintenance,0->1;1->2,"deploy_container -> scale_service, scale_service -> schedule_maintenance"
"Time to nuke Grace's old login and issue a fresh one. After that, persist Diana's data to the database. Last step: fire off a notification to Grace.",98,neg_12,remove_edge,reset_password;db_write;send_notification,1->2,db_write -> send_notification
