query,dag_id,dag_text,tools,edges,topo_family,source,split
Time to back out the deployment on auth-svc-04 and at the same time file an incident report about staging-db-02 and recover Finance's data from backup.,433,"rollback_deployment -> create_ticket, rollback_deployment -> restore_backup",rollback_deployment;create_ticket;restore_backup,0->1;0->2,fanout,original,train
"Time to query the database about #60122. Once that's done, refund Grace. Last step: record the event in Marketing's log.",81,"db_read -> process_refund, process_refund -> log_audit_event",db_read;process_refund;log_audit_event,0->1;1->2,chain_medium,original,train
"Hey, can you dump the database on prod-web-01, followed by push the container image for HR.",185,backup_database -> deploy_container,backup_database;deploy_container,0->1,chain_short,original,train
"Do me a favor and spin up a VM for HR. Once that's done, send a heads-up to Legal.",79,provision_vm -> send_notification,provision_vm;send_notification,0->1,chain_short,original,train
"Quick one — investigate auth-svc-04 for infections. Next, pull staging-db-02 from production — in parallel, ping Grace about it and record the event in HR's log.",142,"quarantine_system -> log_audit_event, quarantine_system -> send_notification, scan_malware -> quarantine_system",scan_malware;quarantine_system;send_notification;log_audit_event,0->1;1->2;1->3,fanout,original,train
"Check the DB records and scan staging-db-02 for threats, then dump it all in the audit log.",12,"db_read -> log_audit_event, scan_malware -> log_audit_event",db_read;scan_malware;log_audit_event,0->2;1->2,fanin,original,train
"Ticket INC-4021 says rotate the API key for payment-api-03, then pull Grace's credentials for ml-infer-05. End with grant Frank permissions to ml-infer-05.",321,"revoke_access -> approve_access, rotate_api_key -> revoke_access",rotate_api_key;revoke_access;approve_access,0->1;1->2,chain_medium,original,train
"The Finance team needs us to downgrade Frank's account. Next, kill the feature toggle for Marketing.",174,update_subscription -> disable_feature_flag,update_subscription;disable_feature_flag,0->1,chain_short,original,train
"Bob is asking us to check if payment-api-03 is up. After that, log Frank's action for compliance. Last step: downgrade Bob's account.",308,"check_status -> log_audit_event, log_audit_event -> update_subscription",check_status;log_audit_event;update_subscription,0->1;1->2,chain_medium,original,train
"Do me a favor and quarantine cdn-edge-06, followed by log Alice's action for compliance.",63,quarantine_system -> log_audit_event,quarantine_system;log_audit_event,0->1,chain_short,original,train
ASAP — reverse the charge on #31450 — then swap out cdn-edge-06's credentials. End with update Diana's record in the DB.,332,"process_refund -> rotate_api_key, rotate_api_key -> db_write",process_refund;rotate_api_key;db_write,0->1;1->2,chain_medium,original,train
"Eve is asking us to do a security check on prod-web-01, and then blast an alert to Marketing — then put Marketing's historical data into the archive. To wrap up, stand up a new box for Legal.",412,"archive_data -> provision_vm, scan_malware -> send_notification, send_notification -> archive_data",scan_malware;send_notification;archive_data;provision_vm,0->1;1->2;2->3,chain_medium,original,train
"For the Finance team, record the event in Engineering's log. Next, bounce auth-svc-04.",258,log_audit_event -> restart_service,log_audit_event;restart_service,0->1,chain_short,original,train
"Frank reported an issue — drop an audit entry for cdn-edge-06, then dump the database on prod-web-01 — then persist Bob's data to the database. To wrap up, reboot cdn-edge-06.",414,"backup_database -> db_write, db_write -> restart_service, log_audit_event -> backup_database",log_audit_event;backup_database;db_write;restart_service,0->1;1->2;2->3,chain_medium,original,train
"Charlie reported an issue — switch Alice to the new plan. After that, check if prod-web-01 is up.",194,update_subscription -> check_status,update_subscription;check_status,0->1,chain_short,original,train
"Diana is asking us to flip the feature toggle on for Legal. Next, change the owner of staging-db-02 to HR. After that, commit Alice's update to the database, and lastly get a human involved for Eve.",388,"db_write -> escalate_to_human, enable_feature_flag -> transfer_ownership, transfer_ownership -> db_write",enable_feature_flag;transfer_ownership;db_write;escalate_to_human,0->1;1->2;2->3,chain_medium,original,train
"Full IR flow: verify payment-api-03 is down, run a scan, isolate, restart, get a human involved, alert the team, and audit it.",16,"check_status -> scan_malware, escalate_to_human -> send_notification, quarantine_system -> restart_service, restart_service -> escalate_to_human, scan_malware -> quarantine_system, send_notification -> log_audit_event",check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,original,train
"Per Grace's request, dig up the history on Bob. After that, push the refund through for #10234. Finally, create an audit trail for #60122.",81,"db_read -> process_refund, process_refund -> log_audit_event",db_read;process_refund;log_audit_event,0->1;1->2,chain_medium,original,train
"Bob reported an issue — scale payment-api-03 down to save costs. Once that's done, roll out the containerised app to ml-infer-05. End with flip the feature toggle on for Legal.",287,"deploy_container -> enable_feature_flag, scale_service -> deploy_container",scale_service;deploy_container;enable_feature_flag,0->1;1->2,chain_medium,original,train
"Time to push the container image for Finance, and then notify the Legal team.",40,deploy_container -> send_notification,deploy_container;send_notification,0->1,chain_short,original,train
"Hey, can you verify payment-api-03's health, and while you're at it, bounce prod-web-01 and open a ticket for Alice.",111,"check_status -> create_ticket, check_status -> restart_service",check_status;restart_service;create_ticket,0->1;0->2,fanout,original,train
"The Engineering team needs us to refund Bob and flip the feature toggle on for Marketing. Once both are done, launch an instance for Marketing.",488,"enable_feature_flag -> provision_vm, process_refund -> provision_vm",process_refund;enable_feature_flag;provision_vm,0->2;1->2,fanin,original,train
"Hey, can you pull payment-api-03 back from the last good backup, and while you're at it, process the payout for Frank and spin up a tracking ticket for Grace.",445,"restore_backup -> create_ticket, restore_backup -> process_refund",restore_backup;process_refund;create_ticket,0->1;0->2,fanout,original,train
"I need you to push the refund through for #42017 and enable the flag for prod-web-01. After those finish, provision a new instance for Legal.",488,"enable_feature_flag -> provision_vm, process_refund -> provision_vm",process_refund;enable_feature_flag;provision_vm,0->2;1->2,fanin,original,train
"The Finance team needs us to refund Alice and flip the feature toggle on for HR. Once both are done, launch an instance for HR.",488,"enable_feature_flag -> provision_vm, process_refund -> provision_vm",process_refund;enable_feature_flag;provision_vm,0->2;1->2,fanin,original,train
