query,dag_id,dag_text,tools,edges,source,topo_family,dag_hash
"Hey, can you file a bug about auth-svc-04 and query the database about #31450, then converge and revoke Frank's access to prod-web-01. Last step: reverse the charge on #10234.",10000,"create_ticket -> revoke_access, db_read -> revoke_access, revoke_access -> process_refund",create_ticket;db_read;revoke_access;process_refund,0->2;1->2;2->3,generated,y_shape,33bef64130eab496
"ASAP — create a ticket about the Legal issue and grab Eve's account details, then converge and pull Frank's credentials for staging-db-02. To wrap up, reverse the charge on #31450.",10000,"create_ticket -> revoke_access, db_read -> revoke_access, revoke_access -> process_refund",create_ticket;db_read;revoke_access;process_refund,0->2;1->2;2->3,generated,y_shape,33bef64130eab496
"When you get a chance, spin up a tracking ticket for Diana and query the database about #53698, merge everything and strip Grace's access to Marketing. End with reverse the charge on #60122.",10000,"create_ticket -> revoke_access, db_read -> revoke_access, revoke_access -> process_refund",create_ticket;db_read;revoke_access;process_refund,0->2;1->2;2->3,generated,y_shape,33bef64130eab496
"I need you to file an incident report about cdn-edge-06 and check the DB for Eve, then converge and disable Bob's account on payment-api-03. Finally, reverse the charge on #53698.",10000,"create_ticket -> revoke_access, db_read -> revoke_access, revoke_access -> process_refund",create_ticket;db_read;revoke_access;process_refund,0->2;1->2;2->3,generated,y_shape,33bef64130eab496
"The Finance team needs us to whip up a report for Legal — in parallel, fire off a notification to Alice, cut off Eve's permissions, and file a bug about staging-db-02, and lastly execute the build pipeline for cdn-edge-06.",10001,"create_ticket -> run_pipeline, generate_report -> create_ticket, generate_report -> revoke_access, generate_report -> send_notification",generate_report;send_notification;revoke_access;create_ticket;run_pipeline,0->1;0->2;0->3;3->4,generated,multi_branch_independent,7a60d539155b3af3
"Time to produce the Legal performance summary while also send a heads-up to Legal, pull Diana's credentials for cdn-edge-06, and create a support case for Legal. End with run the deployment pipeline for Marketing.",10001,"create_ticket -> run_pipeline, generate_report -> create_ticket, generate_report -> revoke_access, generate_report -> send_notification",generate_report;send_notification;revoke_access;create_ticket;run_pipeline,0->1;0->2;0->3;3->4,generated,multi_branch_independent,7a60d539155b3af3
"When you get a chance, compile a summary for Legal and simultaneously notify the Finance team, pull Bob's credentials for staging-db-02, and file an incident report about ml-infer-05. Finally, trigger a build for payment-api-03.",10001,"create_ticket -> run_pipeline, generate_report -> create_ticket, generate_report -> revoke_access, generate_report -> send_notification",generate_report;send_notification;revoke_access;create_ticket;run_pipeline,0->1;0->2;0->3;3->4,generated,multi_branch_independent,7a60d539155b3af3
"Do me a favor and produce the Engineering performance summary — in parallel, send a heads-up to Legal, disable Grace's account on auth-svc-04, and spin up a tracking ticket for Bob. End with execute the build pipeline for prod-web-01.",10001,"create_ticket -> run_pipeline, generate_report -> create_ticket, generate_report -> revoke_access, generate_report -> send_notification",generate_report;send_notification;revoke_access;create_ticket;run_pipeline,0->1;0->2;0->3;3->4,generated,multi_branch_independent,7a60d539155b3af3
"Charlie reported an issue — kill the feature toggle for Engineering, then refresh the API token for Marketing — in parallel, reset Eve's password and create a DB backup for Legal.",10002,"disable_feature_flag -> rotate_api_key, rotate_api_key -> backup_database, rotate_api_key -> reset_password",disable_feature_flag;rotate_api_key;reset_password;backup_database,0->1;1->2;1->3,generated,inverted_y,815170f5dceb9067
"Quick one — kill the feature toggle for Marketing — then issue a new secret for auth-svc-04 — in parallel, change Alice's auth credentials and save a backup of HR's data.",10002,"disable_feature_flag -> rotate_api_key, rotate_api_key -> backup_database, rotate_api_key -> reset_password",disable_feature_flag;rotate_api_key;reset_password;backup_database,0->1;1->2;1->3,generated,inverted_y,815170f5dceb9067
