query,gt_tool,rank_of_one_node,top1_is_one_node,top1_dag_text,top1_cosine,gt_cosine
store the revised details for Grace.,db_write,2,True,db_read,0.6202036738395691,0.537766695022583
Please write the revised Finance config back.,db_write,11,True,update_subscription,0.46436643600463867,0.28561311960220337
I need you to commit the Engineering configuration update.,db_write,3,True,update_subscription,0.49371084570884705,0.40975821018218994
I need you to store the revised details for Alice.,db_write,2,True,db_read,0.6676689982414246,0.5518496632575989
I need you to apply the database write for #31450.,db_write,2,True,db_read,0.661534309387207,0.646434485912323
We should store the revised details for Frank.,db_write,2,True,db_read,0.604536771774292,0.5401161313056946
Let's commit the Legal configuration update.,db_write,6,True,update_subscription,0.500321090221405,0.36221185326576233
Let's store the revised details for Charlie.,db_write,2,True,db_read,0.6649541854858398,0.5144068002700806
Kindly store the revised details for Eve.,db_write,4,True,db_read,0.6907488107681274,0.5096371173858643
"When you have a moment, persist the changes for Bob.",db_write,3,True,send_notification,0.5073123574256897,0.45719578862190247
open an incident ticket for payment-api-03.,create_ticket,3,False,create_ticket -> scan_malware,0.632417619228363,0.5749393105506897
create a support case for prod-web-01.,create_ticket,3,False,create_ticket -> scan_malware,0.5799192190170288,0.466639906167984
log a helpdesk issue for Bob.,create_ticket,5,True,log_audit_event,0.6118409037590027,0.4527682363986969
raise a service request for HR.,create_ticket,7,True,send_notification,0.5214266777038574,0.3753964900970459
Please open an incident ticket for auth-svc-04.,create_ticket,3,False,create_ticket -> scan_malware,0.6295518279075623,0.5717618465423584
Please create a support case for ml-infer-05.,create_ticket,3,False,"create_ticket -> generate_report, quarantine_system -> generate_report",0.5981878638267517,0.49960586428642273
Please log an issue against staging-db-02.,create_ticket,7,False,create_ticket -> scan_malware,0.6122669577598572,0.3934031128883362
Please raise a service request for Finance.,create_ticket,6,True,send_notification,0.5105276107788086,0.4120323657989502
Please create a support issue for HR.,create_ticket,2,False,create_ticket -> scan_malware,0.5854990482330322,0.5679019689559937
Can you open an incident ticket for staging-db-02?,create_ticket,2,False,create_ticket -> scan_malware,0.634770393371582,0.5744074583053589
Can you log a helpdesk issue for Grace?,create_ticket,6,True,log_audit_event,0.6156542301177979,0.4793575406074524
Can you raise an incident for auth-svc-04?,create_ticket,3,False,create_ticket -> scan_malware,0.5250970721244812,0.4583049416542053
Can you open a tracking case for HR?,create_ticket,2,False,"create_ticket -> generate_report, quarantine_system -> generate_report",0.571354329586029,0.5466823577880859
Can you create a support issue for Finance?,create_ticket,2,False,"create_ticket -> generate_report, quarantine_system -> generate_report",0.5799208879470825,0.5331496000289917
Could you open an incident ticket for cdn-edge-06 for me?,create_ticket,2,False,create_ticket -> scan_malware,0.6144720911979675,0.596985399723053
Could you file a bug for payment-api-03 for me?,create_ticket,3,False,create_ticket -> scan_malware,0.6217625141143799,0.5828635096549988
Could you log a helpdesk issue for Frank for me?,create_ticket,5,False,generate_report -> send_notification,0.5871639251708984,0.49076077342033386
Could you raise an incident for payment-api-03 for me?,create_ticket,3,False,create_ticket -> scan_malware,0.542736828327179,0.4383562207221985
Could you submit a ticket for host auth-svc-04 for me?,create_ticket,3,False,create_ticket -> scan_malware,0.5942844748497009,0.5175319910049438
Could you open a tracking issue for ml-infer-05 for me?,create_ticket,3,False,"create_ticket -> generate_report, quarantine_system -> generate_report",0.6213648915290833,0.4798198938369751
Could you create a service request for auth-svc-04 for me?,create_ticket,6,False,create_ticket -> scan_malware,0.5575730204582214,0.4350184202194214
I need you to open an incident ticket for prod-web-01.,create_ticket,2,False,create_ticket -> scan_malware,0.6181605458259583,0.580888032913208
