,db_read,db_write,reset_password,create_ticket,send_notification,quarantine_system,scan_malware,generate_report,process_refund,update_subscription,provision_vm,restart_service,check_status,escalate_to_human,log_audit_event
db_read,24,0,0,0,0,0,0,2,0,0,0,0,0,0,4
db_write,0,18,3,0,0,0,0,0,0,0,1,2,0,0,6
reset_password,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
create_ticket,0,0,0,23,6,0,0,0,0,0,0,0,0,0,1
send_notification,0,0,0,0,17,0,0,0,0,0,0,0,2,3,8
quarantine_system,0,2,7,0,0,11,8,0,1,0,0,1,0,0,0
scan_malware,5,0,2,0,0,2,20,0,0,0,0,0,0,0,1
generate_report,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
process_refund,0,0,2,0,0,0,0,0,20,8,0,0,0,0,0
update_subscription,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0
provision_vm,0,0,1,0,0,0,0,0,0,0,21,8,0,0,0
restart_service,0,4,3,0,0,0,0,0,4,0,8,11,0,0,0
check_status,6,0,0,0,0,0,13,3,0,0,0,0,7,0,1
escalate_to_human,0,0,1,0,7,2,0,0,1,0,2,0,0,17,0
log_audit_event,2,7,0,1,0,0,0,0,5,0,0,0,0,0,15
