tool,precision,recall,f1,support
db_read,0.6486486486486487,0.8,0.7164179104477612,30
db_write,0.5806451612903226,0.6,0.5901639344262295,30
reset_password,0.6122448979591837,1.0,0.759493670886076,30
create_ticket,0.9583333333333334,0.7666666666666667,0.8518518518518519,30
send_notification,0.5666666666666667,0.5666666666666667,0.5666666666666667,30
quarantine_system,0.7333333333333333,0.36666666666666664,0.4888888888888889,30
scan_malware,0.4878048780487805,0.6666666666666666,0.5633802816901409,30
generate_report,0.8571428571428571,1.0,0.9230769230769231,30
process_refund,0.6451612903225806,0.6666666666666666,0.6557377049180327,30
update_subscription,0.7837837837837838,0.9666666666666667,0.8656716417910447,30
provision_vm,0.6363636363636364,0.7,0.6666666666666666,30
restart_service,0.5,0.36666666666666664,0.4230769230769231,30
check_status,0.7777777777777778,0.23333333333333334,0.358974358974359,30
escalate_to_human,0.85,0.5666666666666667,0.68,30
log_audit_event,0.4166666666666667,0.5,0.45454545454545453,30
