tool,precision,recall,f1,support
db_read,0.8983050847457628,0.7571428571428571,0.8217054263565892,70
db_write,0.6810344827586207,0.8777777777777778,0.7669902912621359,90
reset_password,0.8333333333333334,1.0,0.9090909090909091,85
create_ticket,0.6666666666666666,0.6,0.631578947368421,110
send_notification,0.7058823529411765,0.48,0.5714285714285714,100
quarantine_system,0.6923076923076923,0.36,0.47368421052631576,75
scan_malware,0.7666666666666667,0.6133333333333333,0.6814814814814815,75
generate_report,0.5119047619047619,0.86,0.6417910447761194,50
process_refund,0.76,0.8941176470588236,0.8216216216216217,85
update_subscription,0.9076923076923077,0.9833333333333333,0.944,60
provision_vm,0.7043478260869566,0.7714285714285715,0.7363636363636363,105
restart_service,0.8793103448275862,0.68,0.7669172932330827,75
check_status,0.92,0.6,0.7263157894736842,115
escalate_to_human,0.85,0.85,0.85,80
log_audit_event,0.4444444444444444,0.75,0.5581395348837209,80
